Group size (nodes);Ordinary tr.;Trust tr.;th;psize;Ordinary time;Trust time;Tot time;Tot transactions
470;15929;19106;0.6;2;2335.1914;2800.9396;5136.131;35035
470;15929;22624;0.7;2;2335.1914;3316.6784;5651.8698;38553
470;15929;25530;0.8;2;2335.1914;3742.698;6077.8894;41459
470;15929;28612;0.9;2;2335.1914;4194.5192;6529.7106;44541
480;15939;0;0;2;2336.6574;0;2336.6574;15939
480;15939;3298;0.1;2;2336.6574;483.4868;2820.1442;19237
480;15939;6552;0.2;2;2336.6574;960.5232;3297.1806;22491
480;15939;9568;0.3;2;2336.6574;1402.6688;3739.3262;25507
480;15939;12688;0.4;2;2336.6574;1860.0608;4196.7182;28627
480;15939;15998;0.5;2;2336.6574;2345.3068;4681.9642;31937
480;15939;19066;0.6;2;2336.6574;2795.0756;5131.733;35005
480;15939;22230;0.7;2;2336.6574;3258.918;5595.5754;38169
480;15939;25498;0.8;2;2336.6574;3738.0068;6074.6642;41437
480;15939;28862;0.9;2;2336.6574;4231.1692;6567.8266;44801
490;15973;0;0;2;2341.6418;0;2341.6418;15973
490;15973;3130;0.1;2;2341.6418;458.858;2800.4998;19103
490;15973;6278;0.2;2;2341.6418;920.3548;3261.9966;22251
490;15973;9382;0.3;2;2341.6418;1375.4012;3717.043;25355
490;15973;12770;0.4;2;2341.6418;1872.082;4213.7238;28743
490;15973;16144;0.5;2;2341.6418;2366.7104;4708.3522;32117
490;15973;19048;0.6;2;2341.6418;2792.4368;5134.0786;35021
490;15973;22366;0.7;2;2341.6418;3278.8556;5620.4974;38339
490;15973;25506;0.8;2;2341.6418;3739.1796;6080.8214;41479
490;15973;28830;0.9;2;2341.6418;4226.478;6568.1198;44803
500;16029;0;0;2;2349.8514;0;2349.8514;16029
500;16029;3150;0.1;2;2349.8514;461.79;2811.6414;19179
500;16029;6412;0.2;2;2349.8514;939.9992;3289.8506;22441
500;16029;9568;0.3;2;2349.8514;1402.6688;3752.5202;25597
500;16029;12830;0.4;2;2349.8514;1880.878;4230.7294;28859
500;16029;16000;0.5;2;2349.8514;2345.6;4695.4514;32029
500;16029;19222;0.6;2;2349.8514;2817.9452;5167.7966;35251
500;16029;22400;0.7;2;2349.8514;3283.84;5633.6914;38429
500;16029;25726;0.8;2;2349.8514;3771.4316;6121.283;41755
500;16029;28730;0.9;2;2349.8514;4211.818;6561.6694;44759
